# mH (GeV) 	H → bb 	H → ττ 	H → μμ 	H → ss 	H → cc 	H → tt   H → gg 	H → γγ 	H → Zγ 	H → WW 	H → ZZ 	Total ΓH (GeV) 
# https://twiki.cern.ch/twiki/bin/view/LHCPhysics/CERNYellowReportPageBR
# arXiv:1101.0593 Table 26
# CW 2014-12-01
127.0 	5.45E-01 	6.03E-02 	2.09E-04 	4.14E-04 	2.52E-02 	0.00E+00  8.35E-02 	2.29E-03 	1.72E-03 	2.50E-01 	3.17E-02 	4.33E-03
127.5 	5.36E-01 	5.94E-02 	2.06E-04 	4.08E-04 	2.49E-02 	0.00E+00  8.29E-02 	2.29E-03 	1.76E-03 	2.59E-01 	3.31E-02 	4.41E-03
128.0 	5.28E-01 	5.85E-02 	2.03E-04 	4.02E-04 	2.45E-02 	0.00E+00  8.23E-02 	2.28E-03 	1.80E-03 	2.68E-01 	3.44E-02 	4.50E-03
128.5 	5.19E-01 	5.76E-02 	2.00E-04 	3.95E-04 	2.41E-02 	0.00E+00  8.16E-02 	2.28E-03 	1.84E-03 	2.77E-01 	3.58E-02 	4.59E-03
129.0 	5.11E-01 	5.67E-02 	1.97E-04 	3.89E-04 	2.37E-02 	0.00E+00  8.09E-02 	2.27E-03 	1.88E-03 	2.86E-01 	3.72E-02 	4.68E-03
129.5 	5.02E-01 	5.58E-02 	1.94E-04 	3.82E-04 	2.33E-02 	0.00E+00  8.02E-02 	2.27E-03 	1.92E-03 	2.95E-01 	3.87E-02 	4.77E-03
130.0 	4.93E-01 	5.48E-02 	1.90E-04 	3.75E-04 	2.29E-02 	0.00E+00  7.95E-02 	2.26E-03 	1.96E-03 	3.05E-01 	4.01E-02 	4.88E-03
130.5 	4.84E-01 	5.39E-02 	1.87E-04 	3.69E-04 	2.25E-02 	0.00E+00  7.87E-02 	2.25E-03 	2.00E-03 	3.14E-01 	4.16E-02 	4.98E-03
131.0 	4.76E-01 	5.29E-02 	1.84E-04 	3.62E-04 	2.20E-02 	0.00E+00  7.79E-02 	2.24E-03 	2.03E-03 	3.24E-01 	4.30E-02 	5.09E-03
131.5 	4.67E-01 	5.20E-02 	1.80E-04 	3.55E-04 	2.16E-02 	0.00E+00  7.70E-02 	2.23E-03 	2.07E-03 	3.33E-01 	4.45E-02 	5.20E-03
132.0 	4.58E-01 	5.10E-02 	1.77E-04 	3.48E-04 	2.12E-02 	0.00E+00  7.62E-02 	2.22E-03 	2.10E-03 	3.43E-01 	4.60E-02 	5.32E-03
132.5 	4.49E-01 	5.01E-02 	1.74E-04 	3.41E-04 	2.08E-02 	0.00E+00  7.53E-02 	2.21E-03 	2.13E-03 	3.53E-01 	4.75E-02 	5.44E-03
133.0 	4.40E-01 	4.91E-02 	1.70E-04 	3.34E-04 	2.04E-02 	0.00E+00  7.44E-02 	2.19E-03 	2.17E-03 	3.63E-01 	4.90E-02 	5.57E-03
133.5 	4.31E-01 	4.81E-02 	1.67E-04 	3.28E-04 	1.99E-02 	0.00E+00  7.34E-02 	2.18E-03 	2.20E-03 	3.73E-01 	5.05E-02 	5.71E-03
134.0 	4.21E-01 	4.71E-02 	1.63E-04 	3.21E-04 	1.95E-02 	0.00E+00  7.25E-02 	2.17E-03 	2.23E-03 	3.83E-01 	5.20E-02 	5.85E-03
134.5 	4.12E-01 	4.61E-02 	1.60E-04 	3.14E-04 	1.91E-02 	0.00E+00  7.15E-02 	2.15E-03 	2.25E-03 	3.92E-01 	5.35E-02 	5.99E-03
135.0 	4.03E-01 	4.52E-02 	1.57E-04 	3.07E-04 	1.87E-02 	0.00E+00  7.05E-02 	2.13E-03 	2.28E-03 	4.03E-01 	5.50E-02 	6.15E-03
135.5 	3.94E-01 	4.42E-02 	1.53E-04 	3.00E-04 	1.83E-02 	0.00E+00  6.94E-02 	2.12E-03 	2.31E-03 	4.13E-01 	5.65E-02 	6.31E-03
136.0 	3.85E-01 	4.32E-02 	1.50E-04 	2.93E-04 	1.78E-02 	0.00E+00  6.84E-02 	2.10E-03 	2.33E-03 	4.23E-01 	5.80E-02 	6.48E-03
136.5 	3.76E-01 	4.22E-02 	1.46E-04 	2.86E-04 	1.74E-02 	0.00E+00  6.73E-02 	2.08E-03 	2.35E-03 	4.33E-01 	5.94E-02 	6.65E-03
137.0 	3.67E-01 	4.12E-02 	1.43E-04 	2.79E-04 	1.70E-02 	0.00E+00  6.62E-02 	2.06E-03 	2.37E-03 	4.43E-01 	6.09E-02 	6.84E-03
137.5 	3.58E-01 	4.02E-02 	1.40E-04 	2.72E-04 	1.66E-02 	0.00E+00  6.51E-02 	2.04E-03 	2.39E-03 	4.53E-01 	6.23E-02 	7.03E-03
